Date,Season,Home,Away,HG,AG,Result,Result-U/O,1,X,2,HST,AST,HC,AC,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%,HSTF,ASTF,HCF,ACF
2025-10-18,2025,Oud-Heverlee Leuven,Club Brugge,0,1,A,U,5.17,4.16,1.56,5.0,4.0,4.0,11.0,6,1.0,1.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,40.0,40.0,13.0,17.0,8.0,21.0
2025-10-05,2025,Westerlo,Oud-Heverlee Leuven,2,0,H,U,1.84,3.78,3.74,5.0,4.0,6.0,6.0,5,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,5.0,-2.0,-1.0,-3.0,2.0,1.0,0.0,1.0,1.0,2.0,-1.0,50.0,50.0,25.0,75.0,15.0,11.0,20.0,15.0
2025-10-05,2025,Genk,Dender,2,1,H,O,1.35,4.95,7.68,8.0,9.0,8.0,3.0,5,1.0,0.0,2.0,3.0,4.0,1.0,3.0,5.0,8.0,-3.0,-1.0,-7.0,6.0,0.0,0.0,0.0,0.0,3.0,-3.0,25.0,50.0,0.0,75.0,15.0,10.0,17.0,11.0
2025-10-05,2025,Club Brugge,St. Gilloise,1,0,H,U,2.23,3.56,2.89,2.0,1.0,7.0,3.0,5,2.0,2.0,0.0,0.0,9.0,3.0,6.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,75.0,0.0,60.0,0.0,19.0,15.0,19.0,13.0
2025-10-05,2025,Anderlecht,Standard,1,0,H,U,1.57,4.02,5.42,6.0,1.0,6.0,4.0,6,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,4.0,-3.0,1.0,-2.0,3.0,0.0,1.0,-1.0,0.0,1.0,-1.0,40.0,20.0,50.0,50.0,14.0,5.0,19.0,6.0
2025-10-04,2025,RAAL La Louviere,Waregem,0,0,D,U,2.35,3.35,2.88,4.0,4.0,12.0,1.0,5,2.0,2.0,0.0,1.0,2.0,7.0,-5.0,0.0,6.0,-6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,50.0,50.0,7.0,13.0,14.0,20.0
2025-10-04,2025,Mechelen,St Truiden,1,3,A,O,2.12,3.58,3.1,3.0,9.0,5.0,9.0,5,1.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,50.0,0.0,25.0,25.0,13.0,12.0,13.0,19.0
2025-10-04,2025,Antwerp,Cercle Brugge,1,1,D,U,2.35,3.48,2.77,10.0,2.0,8.0,3.0,5,2.0,1.0,1.0,1.0,6.0,3.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,50.0,25.0,25.0,25.0,13.0,16.0,16.0,15.0
2025-10-03,2025,Gent,Charleroi,2,1,H,O,2.04,3.58,3.35,3.0,7.0,4.0,2.0,5,1.0,2.0,1.0,1.0,6.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,25.0,50.0,25.0,11.0,10.0,13.0,9.0
2025-09-28,2025,St Truiden,Genk,1,2,A,O,3.01,3.59,2.16,4.0,7.0,3.0,6.0,5,2.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,75.0,25.0,25.0,50.0,13.0,15.0,16.0,19.0
